GambleNumber,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,Deadline,dEV_bin
1.0,18.0,44.0,7.92,40.0,39.0,15.600000000000001,-22.0,5.0,-7.6800000000000015,6,1
2.0,40.0,63.0,25.2,57.0,58.0,33.059999999999995,-17.0,5.0,-7.859999999999996,8,1
3.0,76.0,72.0,54.72,99.0,48.0,47.519999999999996,-23.0,24.0,7.200000000000003,6,6
4.0,72.0,82.0,59.04,73.0,81.0,59.13,-1.0,1.0,-0.09000000000000341,8,3
5.0,72.0,33.0,23.76,98.0,5.0,4.9,-26.0,28.0,18.86,8,7
6.0,41.0,64.0,26.240000000000002,52.0,51.0,26.52,-11.0,13.0,-0.2799999999999976,6,3
7.0,61.0,62.0,37.82,69.0,61.0,42.089999999999996,-8.0,1.0,-4.269999999999996,6,2
8.0,65.0,49.0,31.849999999999998,71.0,33.0,23.43,-6.0,16.0,8.419999999999998,10,6
9.0,39.0,66.0,25.740000000000002,40.0,50.0,20.0,-1.0,16.0,5.740000000000002,10,6
10.0,5.0,55.0,2.75,35.0,36.0,12.6,-30.0,19.0,-9.85,10,1
11.0,72.0,85.0,61.199999999999996,86.0,66.0,56.760000000000005,-14.0,19.0,4.439999999999991,10,5
12.0,72.0,98.0,70.56,73.0,77.0,56.21,-1.0,21.0,14.350000000000001,8,7
13.0,73.0,49.0,35.769999999999996,81.0,42.0,34.019999999999996,-8.0,7.0,1.75,8,4
14.0,33.0,61.0,20.13,51.0,44.0,22.44,-18.0,17.0,-2.3100000000000023,10,2
15.0,36.0,75.0,27.0,52.0,61.0,31.72,-16.0,14.0,-4.719999999999999,8,2
16.0,23.0,12.0,2.76,26.0,6.0,1.56,-3.0,6.0,1.1999999999999997,8,4
17.0,31.0,38.0,11.78,46.0,29.0,13.34,-15.0,9.0,-1.5600000000000005,8,3
18.0,73.0,32.0,23.36,82.0,2.0,1.6400000000000001,-9.0,30.0,21.72,6,7
19.0,24.0,74.0,17.759999999999998,25.0,64.0,16.0,-1.0,10.0,1.759999999999998,6,5
20.0,35.0,24.0,8.4,65.0,14.0,9.100000000000001,-30.0,10.0,-0.7000000000000011,10,3
21.0,26.0,59.0,15.34,36.0,33.0,11.88,-10.0,26.0,3.459999999999999,8,5
22.0,24.0,95.0,22.799999999999997,53.0,71.0,37.629999999999995,-29.0,24.0,-14.829999999999998,8,0
23.0,52.0,36.0,18.72,63.0,27.0,17.01,-11.0,9.0,1.7099999999999973,10,4
24.0,7.0,96.0,6.72,37.0,66.0,24.42,-30.0,30.0,-17.700000000000003,6,0
25.0,52.0,96.0,49.92,55.0,83.0,45.65,-3.0,13.0,4.270000000000003,6,5
26.0,95.0,74.0,70.3,97.0,49.0,47.53,-2.0,25.0,22.769999999999996,10,7
27.0,18.0,49.0,8.82,23.0,29.0,6.67,-5.0,20.0,2.1500000000000004,10,5
28.0,11.0,72.0,7.92,33.0,45.0,14.85,-22.0,27.0,-6.93,6,1
29.0,64.0,32.0,20.48,69.0,4.0,2.7600000000000002,-5.0,28.0,17.72,10,7
30.0,71.0,82.0,58.22,80.0,78.0,62.400000000000006,-9.0,4.0,-4.180000000000007,10,2
31.0,59.0,23.0,13.57,74.0,22.0,16.28,-15.0,1.0,-2.710000000000001,10,2
32.0,59.0,31.0,18.29,60.0,1.0,0.6,-1.0,30.0,17.689999999999998,8,7
33.0,57.0,51.0,29.07,62.0,48.0,29.759999999999998,-5.0,3.0,-0.6899999999999977,8,3
34.0,27.0,60.0,16.2,36.0,41.0,14.76,-9.0,19.0,1.4399999999999995,6,4
35.0,36.0,37.0,13.32,51.0,10.0,5.1000000000000005,-15.0,27.0,8.219999999999999,6,6
36.0,75.0,31.0,23.25,96.0,14.0,13.440000000000001,-21.0,17.0,9.809999999999999,6,7
37.0,48.0,35.0,16.799999999999997,61.0,19.0,11.59,-13.0,16.0,5.209999999999997,6,5
38.0,43.0,54.0,23.220000000000002,63.0,45.0,28.35,-20.0,9.0,-5.129999999999999,10,1
39.0,36.0,68.0,24.48,55.0,48.0,26.4,-19.0,20.0,-1.9199999999999982,6,2
40.0,30.0,41.0,12.299999999999999,60.0,35.0,21.0,-30.0,6.0,-8.700000000000001,10,1
41.0,35.0,40.0,14.0,48.0,10.0,4.800000000000001,-13.0,30.0,9.2,10,6
42.0,50.0,89.0,44.5,66.0,67.0,44.220000000000006,-16.0,22.0,0.27999999999999403,6,4
43.0,17.0,73.0,12.41,42.0,63.0,26.46,-25.0,10.0,-14.05,6,0
44.0,19.0,86.0,16.34,45.0,71.0,31.95,-26.0,15.0,-15.61,8,0
45.0,52.0,92.0,47.84,72.0,91.0,65.52,-20.0,1.0,-17.679999999999993,10,0
46.0,78.0,38.0,29.64,90.0,15.0,13.5,-12.0,23.0,16.14,6,7
47.0,68.0,30.0,20.4,89.0,16.0,14.24,-21.0,14.0,6.159999999999998,8,6
48.0,35.0,68.0,23.8,54.0,43.0,23.22,-19.0,25.0,0.5800000000000018,8,4
49.0,69.0,87.0,60.03,99.0,86.0,85.14,-30.0,1.0,-25.11,10,0
50.0,2.0,34.0,0.68,29.0,13.0,3.77,-27.0,21.0,-3.09,6,2
51.0,41.0,94.0,38.54,48.0,70.0,33.599999999999994,-7.0,24.0,4.940000000000005,8,5
52.0,62.0,92.0,57.04,83.0,62.0,51.46,-21.0,30.0,5.579999999999998,10,5
53.0,69.0,28.0,19.32,81.0,23.0,18.630000000000003,-12.0,5.0,0.6899999999999977,10,4
54.0,47.0,37.0,17.39,77.0,23.0,17.71,-30.0,14.0,-0.3200000000000003,10,3
55.0,35.0,92.0,32.2,41.0,81.0,33.21,-6.0,11.0,-1.009999999999998,6,3
56.0,62.0,34.0,21.080000000000002,86.0,15.0,12.9,-24.0,19.0,8.180000000000001,8,6
57.0,59.0,94.0,55.459999999999994,86.0,89.0,76.54,-27.0,5.0,-21.080000000000013,8,0
58.0,36.0,54.0,19.44,48.0,53.0,25.44,-12.0,1.0,-6.0,8,1
59.0,8.0,64.0,5.12,25.0,34.0,8.5,-17.0,30.0,-3.38,8,2
60.0,56.0,75.0,42.0,81.0,74.0,59.94,-25.0,1.0,-17.939999999999998,6,0
