ParticipantID,PracticeGambleNumber,GambleChoice,GambleResponseTime,GambleSecondaryChoices,GambleSecondaryChoicesTimes,GambleDeadline,MissedDeadline,FullScreenExited,ReproducedTime,SubjectiveDifficulty,ResponseTimeSubjectiveDifficulty,ResponseTimeSubmitAnswersQuestionnaire
0,1,Left,2.647299999999814,,,6,0,0,3.4651000000005587,2,11.45389999999944,12.602399999999442
0,2,Left,4.599300000000745,,,8,0,0,3.746,3,2.094700000000186,2.934099999999628
0,3,Right,4.8715,,,10,0,0,6.088900000000373,3,3.2462999999998137,4.174899999999441
0,4,Left,3.4128999999994414,,,8,0,0,6.7235,2,2.9677000000001863,6.9915
0,5,Left,3.556,,,6,0,0,5.126700000000186,3,2.2832000000001864,3.163299999999814
0,6,Left,2.727299999999813,,,10,0,0,9.997799999999812,1,2.1455,4.4497000000001865
1,1,Left,5.200400000095367,,,6,0,0,4.696900000095368,1,7.289400000095368,8.245600000143051
1,2,Left,5.461099999904633,,,8,0,0,6.334799999952316,4,1.725,2.845899999856949
1,3,Left,6.173799999952316,,,10,0,0,7.144799999952316,5,1.7302999999523163,3.0355999999046324
1,4,Left,3.736399999856949,,,8,0,0,5.364399999856949,2,1.4725999999046326,2.258899999856949
1,5,Left,4.436600000143051,,,6,0,0,3.467,3,3.2447999999523165,4.694599999904632
1,6,Left,3.214799999952316,,,10,0,0,6.892700000047684,1,1.4975999999046326,2.2755
2,1,Left,2.26,,,6,0,0,4.090800000011921,2,7.236100000008941,8.983400000005961
2,2,Left,4.38329999999702,,,8,0,0,3.2917000000029804,3,3.04270000000298,4.526899999991059
2,3,Left,2.8206000000089406,,,10,0,0,6.77729999999702,3,2.4041000000089405,4.204100000008941
2,4,Left,3.134899999991059,,,8,0,0,4.9865,3,2.83470000000298,4.071
2,5,Left,2.048,,,6,0,0,5.44159999999404,3,3.0075999999940395,4.583799999997019
2,6,Left,2.12,,,10,0,0,5.99459999999404,3,3.0615,4.306300000011921
3,1,Left,3.5810999999046325,,,6,0,0,1.7685,2,3.1339000000953674,4.046099999904633
3,2,Left,2.1140999999046324,,,8,0,0,0.7479000000953674,2,4.834,5.5275
3,3,Left,2.471800000190735,,,10,0,0,6.854899999618531,2,6.1715999999046325,7.751299999713898
3,4,Left,1.5580999999046323,,,8,0,0,5.5085,2,3.9089000000953673,4.762300000190735
3,5,Left,1.6848000001907348,,,6,0,0,3.76689999961853,1,2.155699999809265,2.955099999904633
3,6,Left,1.6543999996185303,,,10,0,0,7.8122000002861025,1,1.732300000190735,2.3654000000953674
4,1,Left,2.635200000047684,,,6,0,0,6.936899999976158,2,3.738399999976158,5.847399999976158
4,2,Left,2.360899999976158,,,8,0,0,8.009700000047683,3,2.461799999952316,3.592399999976158
4,3,Right,3.257200000047684,,,10,0,0,8.594,4,3.539,4.9762999999523165
4,4,Left,1.6545,,,8,0,0,7.776300000071526,1,1.9897999999523164,22.13489999997616
4,5,Left,2.911200000047684,,,6,0,0,6.072100000023842,2,2.442600000023842,3.539
4,6,Left,1.9197999999523163,,,10,0,0,8.841800000071526,1,2.0826999999284745,3.2166999999284744
5,1,Left,1.8082000000029803,,,6,0,0,6.9619000000059605,2,3.617400000005961,4.0005
