ParticipantID,DeadlinePresentationOrder,BlockNumber,ExperimentRoundNumber,ExperimentGambleNumber,LotteryLeft,LotteryRight,GambleChoice,GambleResponseTime,GambleSecondaryChoices,GambleSecondaryChoicesTimes,GambleDeadline,FullScreenExited,ReproducedTime,MissedDeadline,SubjectiveDifficulty,ResponseTimeSubjectiveDifficulty,ResponseTimeSubmitAnswersQuestionnaire,Counter,Age,Sex,SubjectiveDifficulty3Lev,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,dEV_bin,RiskyChoice,BlockRoundNumber,AbsoluteError,RiskAttitudeScore
0,Random,2,31,1,0,1,Right,1.9937000000001863,,,6,0,7.8,0,2,4.568900000000372,5.2125,0,50,Male,1,18.0,44.0,7.92,40.0,39.0,15.6,-22.0,5.0,-7.6800000000000015,1,1,11,0.3,0.4833333333333333
0,Random,3,44,18,0,1,Left,2.0622000000001863,,,6,0,6.022,0,1,2.2958999999994414,3.6317000000001856,0,50,Male,1,73.0,32.0,23.36,82.0,2.0,1.64,-9.0,30.0,21.72,7,0,4,0.0036666666666667,0.4833333333333333
0,Random,2,37,19,0,1,Left,2.294799999999814,,,6,0,6.105,0,2,1.6972999999998135,4.2,0,50,Male,1,24.0,74.0,17.759999999999998,25.0,64.0,16.0,-1.0,10.0,1.759999999999998,5,0,17,0.0175,0.4833333333333333
0,Random,1,14,24,0,1,Right,3.057799999999814,,,6,0,4.829,0,4,1.5600999999996277,2.384399999999441,0,50,Male,3,7.0,96.0,6.72,37.0,66.0,24.42,-30.0,30.0,-17.700000000000003,0,1,14,0.1951666666666667,0.4833333333333333
0,Random,1,19,25,0,1,Left,2.258100000000559,,,6,0,6.287399999999441,0,1,1.3579000000003725,2.134,0,50,Male,1,52.0,96.0,49.92,55.0,83.0,45.65,-3.0,13.0,4.270000000000003,5,0,19,0.0478999999999068,0.4833333333333333
0,Random,3,41,28,0,1,Left,2.4239000000003723,,,6,0,6.023100000000559,0,2,1.9258999999994413,2.7295999999996274,0,50,Male,1,11.0,72.0,7.92,33.0,45.0,14.85,-22.0,27.0,-6.93,1,0,1,0.0038500000000931,0.4833333333333333
0,Random,3,52,3,0,1,Right,1.549,,,6,0,7.0745,0,4,1.5852999999998136,2.3395,0,50,Male,3,76.0,72.0,54.72,99.0,48.0,47.52,-23.0,24.0,7.200000000000003,6,1,12,0.1790833333333332,0.4833333333333333
0,Random,3,47,34,0,1,Left,1.4468999999994412,,,6,0,6.8647000000001865,0,2,1.5172999999998138,2.907599999999628,0,50,Male,1,27.0,60.0,16.2,36.0,41.0,14.76,-9.0,19.0,1.4399999999999995,4,0,7,0.1441166666666977,0.4833333333333333
0,Random,3,43,35,1,0,Right,2.275700000000186,,,6,0,5.401099999999627,0,4,1.4127999999998138,2.132299999999814,0,50,Male,3,36.0,37.0,13.32,51.0,10.0,5.1000000000000005,-15.0,27.0,8.219999999999999,6,0,3,0.0998166666667287,0.4833333333333333
0,Random,3,54,36,0,1,Right,3.4889000000003727,,,6,0,6.464899999999441,0,4,2.088799999999814,3.553,0,50,Male,3,75.0,31.0,23.25,96.0,14.0,13.44,-21.0,17.0,9.81,7,1,14,0.0774833333332402,0.4833333333333333
