ParticipantID,CompletionTimeConsentForm,CompletionTimeIntroduction,CompletionTimeInstruction1,CompletionTimeInstruction2,CompletionTimeInstruction3,CompletionTimeInstruction4,CompletionTimeInstruction5,CompletionTimeInstruction6,CompletionTimeInstructionsCompleted,CompletionTimeTimingInstructions,CompletionTimeAllInstructions,CompletionTimeComprehensionCheck1,CompletionTimeComprehensionCheck2,CompletionTimeComprehensionCheck3,CompletionTimeComprehensionCheck4,AttemptsLeftComprehensionCheck1,AttemptsLeftComprehensionCheck2,AttemptsLeftComprehensionCheck3,AttemptsLeftComprehensionCheck4,VisitsConsentForm,VisitsInstruction1,VisitsInstruction2,VisitsInstruction3,VisitsInstruction4,VisitsInstruction5,VisitsInstruction6
0,100.1487000000002,23.132400000000374,65.81780000000074,66.83579999999981,39.30560000000056,90.06520000000019,25.7865,14.811,11.079799999999814,16.221199999999254,836.2792000000002,46.85840000000037,58.322599999999625,22.296800000000744,22.0765,3,3,3,3,1,1,1,1,1,1,1
1,295.5612000000477,15.341,59.6175,41.48110000014305,20.56979999995232,57.50639999985695,10.6025,9.29160000014305,10.987299999952317,1.7127999999523162,812.7164000000954,24.747400000095368,13.492800000190735,19.1125,24.061200000047684,3,3,3,3,1,1,1,1,1,1,1
2,11.85420000000298,11.69570000000298,80.32879999999702,44.98870000000298,49.21020000000298,115.0835,19.6495,8.80820000000298,15.80879999999702,8.202,749.952200000003,48.66610000000894,30.82629999999702,36.205,45.09489999999106,3,3,3,3,1,1,1,1,1,1,1
3,10.196699999809264,10.018599999904632,38.67709999990464,20.14609999990463,16.567900000095367,79.585,14.5025,4.4665,2.8639000000953674,6.471099999904633,527.4234000000954,99.46759999990464,15.515799999713895,9.756900000095367,23.179099999904636,3,3,3,3,1,1,1,1,1,1,1
4,7.349100000023842,12.996100000023842,66.72440000009537,5.380700000047684,9.17189999997616,60.091,7.780699999928474,4.504300000071526,1.8023999999761584,6.5135,480.4506000000238,25.707199999928477,18.488,13.249899999976158,12.284,3,3,3,3,1,1,1,1,1,1,1
5,62.39210000000894,10.60229999999702,41.30020000000298,15.73079999999702,7.834,24.16640000000596,4.69729999999702,1.494,1.179,7.163599999994039,377.6880999999941,11.45709999999404,10.98489999999106,11.21129999999702,16.5445,3,3,3,3,2,1,1,1,1,1,1
6,200.57639999999944,96.11889999999944,124.48260000000056,8.491399999999441,22.90740000000037,114.6547999999998,9.803599999999628,13.407400000000372,5.827200000000186,9.367,996.4638000000008,22.005900000000373,12.594799999999816,11.591099999999628,13.446800000000746,3,3,3,3,1,1,1,1,1,1,1
7,18.85179999995232,6.195399999976158,53.231,33.47589999997616,23.8845,62.98659999990464,10.251399999976158,7.4692000000476835,6.679700000047684,5.762799999952316,517.9165,26.976699999928474,13.55139999997616,16.273,25.59360000002384,3,3,3,3,1,1,1,1,1,1,1
8,20.8335,8.005299999952316,53.94,29.79379999995232,25.033,154.02330000019074,44.46609999990464,7.199400000095367,9.073900000095367,7.2245,644.7432000000476,34.7065,18.375700000047683,15.093200000047684,14.793200000047683,2,3,3,3,1,1,1,1,1,1,1
9,36.62529999995232,9.321199999809265,30.86329999995232,23.187200000047685,13.0095,37.0795,6.763900000095368,4.029799999952316,3.783799999952316,5.809299999952317,438.7865,23.9805,10.526700000047684,11.887099999904631,22.908900000095368,3,3,3,3,1,1,1,2,1,1,1
10,47.20890000000596,21.06740000000596,100.49730000001192,118.55169999998807,34.66680000001192,121.54709999999405,32.46990000000596,37.019700000017885,16.63459999999404,3.698800000011921,930.9195,41.84109999999404,78.21730000001192,22.398,15.183199999988078,3,3,3,3,2,1,1,1,1,1,1
11,21.89789999999851,16.93229999999702,50.87830000000447,109.86060000000148,13.63629999999702,52.47919999999553,12.752,9.61870000000298,11.01870000000298,5.81720000000298,587.0726999999955,34.423,28.67209999999404,10.751,11.31770000000298,2,3,3,3,1,1,1,1,1,1,1
12,6.778800000000745,11.9775,75.73020000000112,18.033,23.89889999999851,414.31019999999927,5.013099999999628,9.304800000000744,2.1925,9.1565,1070.037799999999,23.32320000000112,22.67379999999888,198.47579999999888,16.98409999999963,3,2,3,3,1,1,1,1,1,1,1
13,84.00890000009537,19.636,93.12669999980926,46.76209999990464,22.54629999995232,78.18259999990464,10.968400000095368,11.365800000190736,11.428900000095368,3.820899999856949,743.9737999999523,56.23840000009537,21.33530000019073,19.9675,7.917700000047684,3,3,3,3,1,1,1,1,1,1,1
14,14.740299999999811,33.59620000000019,174.78359999999964,59.174699999999255,24.456200000000187,187.9029000000004,42.01739999999944,14.777,2.344700000000186,7.3745,1043.1257000000005,63.9465,23.30679999999981,42.0455,19.833299999999813,3,3,3,3,1,1,1,1,1,1,1
15,242.52370000000295,73.17880000000447,97.756,199.34010000000148,43.3495,132.6266000000015,27.32439999999851,13.95869999999553,26.01370000000298,6.8202000000029805,1333.8371999999956,55.56619999999553,24.58339999999851,30.37979999999702,71.11510000000149,3,3,3,3,1,1,1,1,1,1,1
16,180.14110000002384,23.34639999997616,91.59830000001192,58.35779999995231,55.80820000004768,128.95519999998808,17.066699999988078,10.825299999952316,17.1245,9.4715,992.606199999988,29.618600000023843,63.69780000001192,37.05560000002384,25.29819999998808,3,2,3,3,1,1,1,1,1,1,1
17,44.4515,3.0592999999999884,32.777,25.72129999999999,10.349599999999976,47.507400000000025,6.3235,6.137900000000023,2.9250999999999765,4.213099999999977,395.84580000000005,17.390700000000013,15.364799999999988,11.446800000000046,11.789099999999976,3,3,3,3,1,1,1,1,1,1,1
18,13.46740000000596,10.847399999976158,66.34490000000596,27.39559999999404,30.535,57.72130000001192,8.612399999976159,45.78410000002384,7.59740000000596,1.595800000011921,591.7531000000239,45.95080000001192,24.42990000000596,18.15359999999404,17.64009999999404,2,3,3,3,1,1,1,1,1,1,1
