ParticipantID,BlockNumber,SubjectiveBlockTotalTime,ResponseTimeSubjectiveBlockTotalTime,ResponseTimeFirstAttemptSubjectiveBlockTotalTime,AttemptsAnswerSubjectiveBlockTotalTime,ConfidenceSubjectiveBlockTotalTime,ResponseTimeConfidenceSubjectiveBlockTotalTime,LevelBoredom,ResponseTimeLevelBoredom,TotalObjectiveBlockTime
0,1,11,39.132700000000185,,,3,10.62810000000056,3,18.188700000000185,494.7525999999996
0,2,10,6.714099999999627,6.714099999999627,1.0,2,10.518399999999442,2,12.326299999999812,509.7247000000002
0,3,9,3.886800000000745,3.886800000000745,1.0,3,5.759,3,7.6625,428.6500999999996
1,1,16,21.331899999856947,,,2,23.989599999904637,4,27.790200000047683,409.082899999857
1,2,11,8.320900000095367,8.320900000095367,1.0,3,10.5945,4,14.5945,400.37890000009537
1,3,9,4.275100000143051,4.275100000143051,1.0,3,5.975600000143051,4,7.8155,360.62
2,2,7,11.65020000000298,11.65020000000298,1.0,3,19.42379999999702,3,23.64740000000596,482.157900000006
2,3,7,7.02379999999702,7.02379999999702,1.0,3,9.54570000000298,3,11.40509999999404,424.8038999999911
3,1,8,12.525199999809264,,,2,14.774199999809266,3,16.786,374.0783000001907
3,2,7,5.423900000095367,5.423900000095367,1.0,3,7.646300000190735,3,9.758,367.0745999999047
3,3,5,8.5985,4.7986000003814695,3.0,2,10.659900000095368,3,12.283800000190736,363.8349000000954
4,1,14,13.5965,,,3,17.809799999952315,4,20.52879999995232,517.1232000000476
4,2,12,3.594899999976158,3.594899999976158,1.0,3,6.359600000023842,4,8.393700000047684,459.6253000000716
4,3,8,30.720599999904632,30.720599999904632,1.0,2,32.9325,5,34.73379999995232,481.99360000002383
5,1,15,4.85560000000894,,,2,6.8732000000029805,2,8.57310000000894,382.43560000000895
5,2,15,2.99779999999702,2.99779999999702,1.0,3,3.99629999999702,2,7.15440000000596,411.4386999999881
5,3,15,5.077099999994039,3.39770000000298,2.0,2,6.21070000000298,2,7.6775,435.5225
6,1,8,16.672199999999254,,,2,19.946599999999627,3,21.182599999999628,384.2416999999992
6,2,7,4.441199999999255,4.441199999999255,1.0,2,6.358799999998882,3,11.037,397.9915
6,3,7,4.729,4.729,1.0,2,6.727,3,7.643,468.8154000000004
7,1,12,20.023400000095368,,,2,14.182400000095368,3,24.64680000007153,393.19039999997614
7,2,10,8.900300000071526,8.900300000071526,1.0,3,11.263900000095369,4,15.759800000071523,393.8362999999523
7,3,10,2.793800000071525,2.793800000071525,1.0,3,5.058700000047684,4,7.110600000023842,348.49969999992845
8,1,20,15.491100000143051,,,3,18.87780000019073,4,22.20710000014305,462.0515
8,2,15,3.7239000000953673,3.7239000000953673,1.0,4,12.014299999952316,5,13.5375,438.81690000009536
8,3,15,2.1967000000476835,2.1967000000476835,1.0,4,3.4862999999523163,5,5.416,404.17540000009535
9,1,12,9.772899999856948,,,2,11.82339999985695,4,13.805399999856949,434.74809999990464
9,2,9,3.8463999998569487,3.8463999998569487,1.0,3,6.495299999952317,4,10.864,412.3627000000477
9,3,9,6.4548999998569485,6.4548999998569485,1.0,3,9.371599999904632,4,10.473,455.534
10,1,15,26.01090000000596,,,2,29.06840000000596,4,46.00370000001788,384.2106999999881
10,2,15,9.63440000000596,8.56259999999404,2.0,2,12.10079999998212,3,14.250299999982118,379.4145
10,3,15,3.0144000000059603,3.0144000000059603,1.0,2,4.915400000005961,3,5.899,372.0302999999821
11,1,7,31.91139999999851,,,3,34.25260000000149,3,37.00269999999553,455.5808999999985
11,2,8,4.32070000000298,4.32070000000298,1.0,2,7.05,3,8.85040000000596,455.885299999997
11,3,7,5.0855,2.70089999999851,2.0,2,10.26829999999702,3,12.65179999999702,452.13369999999554
12,1,50,21.470900000000373,,,3,22.875799999998883,3,30.719699999999253,744.2166000000014
12,2,12,8.88089999999851,3.78489999999851,3.0,4,11.01839999999851,4,11.88029999999702,451.51009999999775
12,3,10,7.283099999997765,7.283099999997765,1.0,4,9.685199999999256,4,10.591800000000744,422.38940000000224
13,1,15,24.02260000014305,,,4,34.31640000009537,2,35.4535,465.7025
13,2,13,5.0475,5.0475,1.0,4,7.293299999952317,2,9.675599999904632,471.0612000000477
13,3,17,3.5268000001907347,3.5268000001907347,1.0,4,8.819700000047684,2,10.282900000095369,1067.9125999999046
14,1,12,31.843,,,3,48.89410000000056,3,40.51440000000037,434.2985999999996
14,2,9,6.120199999999255,6.120199999999255,1.0,4,11.113699999999255,3,13.354699999999257,424.3379000000004
14,3,9,3.4675,3.4675,1.0,4,6.5575,3,9.417699999999256,440.0335
15,1,6,24.99510000000149,,,3,33.49580000000447,4,42.19790000000596,371.2383000000045
15,2,8,12.05979999999702,12.05979999999702,1.0,3,15.99679999999702,4,19.1495,409.3416000000015
15,3,9,10.79710000000149,10.79710000000149,1.0,3,18.92930000000447,4,22.2415,483.3506000000015
16,1,8,18.81159999996424,,,3,23.6015,4,29.3015,402.3097999999523
16,2,7,7.976199999988079,7.976199999988079,1.0,3,15.554099999964237,4,26.256,450.935
16,3,11,4.349200000047683,4.349200000047683,1.0,3,7.052700000047683,4,13.307100000023842,512.9519000000357
17,1,15,7.438800000000047,,,3,9.397199999999954,1,11.705199999999952,462.5242999999999
17,2,10,5.852100000000093,5.852100000000093,1.0,3,9.163,1,11.577100000000094,495.35940000000016
17,3,8,4.384200000000186,4.384200000000186,1.0,3,6.655300000000279,1,8.864100000000093,374.3455
18,1,5,10.38559999999404,,,3,12.79290000000596,4,15.77409999999404,484.4305
18,2,7,5.822600000023842,5.822600000023842,1.0,3,8.861100000023843,4,10.46120000001788,588.6848000000119
18,3,6,3.5955,3.5955,1.0,3,5.051399999976158,4,6.74759999999404,383.367900000006
19,1,15,107.63589999985696,,,2,119.11,3,123.806,567.6892000000477
19,2,13,10.815700000047684,9.714100000143052,2.0,3,13.022400000095368,2,16.478299999952316,560.9287000000477
19,3,9,14.648,3.7879000000953673,3.0,4,9.74210000014305,3,18.166200000047684,372.1920999999047
20,2,5,3.386,3.386,1.0,3,6.10889999999851,4,8.27689999999851,355.663
20,3,7,3.251,3.251,1.0,3,5.06960000000149,4,7.11770000000298,512.3193999999985
21,1,7,17.758,,,3,19.75729999999702,3,23.58139999999851,341.8495
21,2,10,5.759300000004471,4.174900000005961,2.0,2,7.446800000004471,2,8.31890000000596,477.807299999997
21,3,8,2.94410000000149,2.94410000000149,1.0,3,4.32689999999851,2,5.11110000000149,394.360200000003
22,1,10,10.779,,,2,12.096799999952315,3,15.445099999964237,448.2240999999642
22,2,10,5.789699999988079,5.789699999988079,1.0,2,7.063699999988079,3,8.75369999998808,389.859
22,3,10,2.350899999976158,2.350899999976158,1.0,2,3.480800000011921,3,5.450399999976158,324.5959000000358
23,1,10,23.95330000001192,,,3,20.63319999998808,3,17.071400000005962,371.905800000012
23,2,10,5.2685,5.2685,1.0,3,6.448299999982119,2,8.175399999976158,548.030599999994
23,3,8,2.3381000000238417,2.3381000000238417,1.0,4,3.539300000011921,2,5.416200000017882,448.6217000000179
24,1,18,12.3765,,,3,14.47909999999404,3,17.38959999999404,384.86689999997617
24,2,19,6.074,4.5955,2.0,2,7.971299999982119,2,11.19679999998212,462.1828000000119
24,3,17,8.048100000023842,3.708600000023842,3.0,3,9.6965,2,10.958,311.94640000000595
25,2,10,2.584699999809265,2.584699999809265,1.0,4,5.382599999904633,2,9.91639999985695,352.4942999999523
25,3,10,2.788700000047684,2.788700000047684,1.0,4,3.8420999999046326,2,8.090099999904632,411.9862000000477
26,1,9,8.0605,,,3,12.726300000000744,1,16.34910000000149,471.466
26,2,8,3.838200000001117,3.838200000001117,1.0,2,6.190200000001117,1,7.253400000000372,478.8710999999996
26,3,10,5.261599999999628,5.261599999999628,1.0,2,9.910299999998882,1,10.926199999999255,530.5432000000011
27,1,18,20.61129999999981,,,3,22.17279999999981,4,27.034599999999628,425.67500000000047
27,2,12,5.897700000000186,5.897700000000186,1.0,2,8.414799999999813,3,9.660799999999814,420.6942000000002
27,3,15,9.487600000000558,4.279600000000559,2.0,3,11.270700000000186,3,12.650799999999814,479.294
28,1,7,16.998400000035762,,,3,18.525700000047685,4,22.721400000035764,420.1333000000119
28,2,10,5.708600000023842,5.708600000023842,1.0,4,8.2545,3,10.48360000002384,626.4585999999642
28,3,11,4.972600000023842,4.972600000023842,1.0,4,7.1181000000238415,3,7.928800000011921,715.1536000000239
29,1,8,12.019200000047684,,,1,16.441900000095366,4,20.788,352.8362999999523
29,2,6,3.933400000095368,3.933400000095368,1.0,3,6.260400000095367,4,7.878300000190735,277.1987999999523
29,3,8,3.832400000095368,3.832400000095368,1.0,3,4.840300000190735,4,7.141400000095367,417.3929000000954
30,1,10,11.701,,,3,14.107,4,17.522,468.579
30,2,10,9.927,9.927,1.0,3,11.557,4,13.035,456.391
30,3,10,4.254,4.254,1.0,3,6.204,4,7.549,478.556
31,1,15,21.1565,,,3,23.473600000023843,4,31.8765,557.1401999999881
31,2,10,16.71130000001192,16.71130000001192,1.0,2,4.897100000023842,2,10.361200000047685,574.1343000000119
31,3,13,9.92819999998808,4.534099999964237,2.0,4,13.195099999964237,1,17.03819999998808,522.3167000000477
32,1,10,27.75519999998808,,,3,30.46490000000596,4,32.7495,407.5800999999941
32,2,12,4.745699999988079,4.745699999988079,1.0,3,6.166199999988079,4,7.53259999999404,395.9332999999821
